"id","facility_name","hours_type","productive_hours"
47,"CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND","Ancillary Cost Centers",870142
48,"CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND","Education Cost Centers",655765
49,"CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND","General Services Cost Centers",637945
50,"CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND","Fiscal Services Cost Centers",198495
51,"CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND","Administrative Services Cost Centers",205979
52,"THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL","Management & Supervision",12729
53,"THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL","Technician & Specialist",17640
54,"THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL","Registered Nurse",357
55,"THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL","Licensed Vocational Nurse",0
56,"THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL","Aides & Orderlies",14094
57,"THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL","Clerical & Other Administrative",9945
58,"THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL","Environmental & Food Services",5074
59,"THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL","Other",0
60,"THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL","Contracted Registry Nursing",354
61,"THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL","Contracted Other",2061
62,"THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL","Daily Cost Centers",33336
63,"THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL","Ambulatory Cost Centers",1368
64,"THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL","Ancillary Cost Centers",0
65,"THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL","Education Cost Centers",0
66,"THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL","General Services Cost Centers",9347
67,"THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL","Fiscal Services Cost Centers",13975
68,"THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL","Administrative Services Cost Centers",4228
69,"EDEN MEDICAL CENTER","Management & Supervision",164648
70,"EDEN MEDICAL CENTER","Technician & Specialist",493238
71,"EDEN MEDICAL CENTER","Registered Nurse",804088
72,"EDEN MEDICAL CENTER","Licensed Vocational Nurse",41493
73,"EDEN MEDICAL CENTER","Aides & Orderlies",143285
74,"EDEN MEDICAL CENTER","Clerical & Other Administrative",376872
75,"EDEN MEDICAL CENTER","Environmental & Food Services",178356
76,"EDEN MEDICAL CENTER","Other",62313
77,"EDEN MEDICAL CENTER","Contracted Registry Nursing",50414
78,"EDEN MEDICAL CENTER","Contracted Other",25653
79,"EDEN MEDICAL CENTER","Daily Cost Centers",811485
80,"EDEN MEDICAL CENTER","Ambulatory Cost Centers",221808
81,"EDEN MEDICAL CENTER","Ancillary Cost Centers",544921
82,"EDEN MEDICAL CENTER","Education Cost Centers",0
83,"EDEN MEDICAL CENTER","General Services Cost Centers",415937
84,"EDEN MEDICAL CENTER","Fiscal Services Cost Centers",112275
85,"EDEN MEDICAL CENTER","Administrative Services Cost Centers",233934
86,"ALAMEDA COUNTY MEDICAL CENTER","Management & Supervision",306179
87,"ALAMEDA COUNTY MEDICAL CENTER","Technician & Specialist",949532
88,"ALAMEDA COUNTY MEDICAL CENTER","Registered Nurse",991421
89,"ALAMEDA COUNTY MEDICAL CENTER","Licensed Vocational Nurse",126386
90,"ALAMEDA COUNTY MEDICAL CENTER","Aides & Orderlies",289841
91,"ALAMEDA COUNTY MEDICAL CENTER","Clerical & Other Administrative",718014
92,"ALAMEDA COUNTY MEDICAL CENTER","Environmental & Food Services",383844
93,"ALAMEDA COUNTY MEDICAL CENTER","Other",376373
94,"ALAMEDA COUNTY MEDICAL CENTER","Contracted Registry Nursing",287898
95,"ALAMEDA COUNTY MEDICAL CENTER","Contracted Other",60342
96,"ALAMEDA COUNTY MEDICAL CENTER","Daily Cost Centers",1228755
97,"ALAMEDA COUNTY MEDICAL CENTER","Ambulatory Cost Centers",801345
98,"ALAMEDA COUNTY MEDICAL CENTER","Ancillary Cost Centers",612747
99,"ALAMEDA COUNTY MEDICAL CENTER","Education Cost Centers",299641
100,"ALAMEDA COUNTY MEDICAL CENTER","General Services Cost Centers",779669
101,"ALAMEDA COUNTY MEDICAL CENTER","Fiscal Services Cost Centers",321293
102,"ALAMEDA COUNTY MEDICAL CENTER","Administrative Services Cost Centers",446380
103,"KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS","Management & Supervision",0
104,"KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS","Technician & Specialist",0
105,"KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS","Registered Nurse",2294043
106,"KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS","Licensed Vocational Nurse",14759
107,"KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS","Aides & Orderlies",221515
108,"KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS","Clerical & Other Administrative",0
109,"KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS","Environmental & Food Services",0
110,"KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS","Other",3954571
111,"KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS","Contracted Registry Nursing",53097
112,"KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS","Contracted Other",527
113,"KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS","Daily Cost Centers",2402187
114,"KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS","Ambulatory Cost Centers",167205
115,"KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS","Ancillary Cost Centers",928902
116,"KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS","Education Cost Centers",193513
117,"KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS","General Services Cost Centers",1623168
118,"KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS","Fiscal Services Cost Centers",0
119,"KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS","Administrative Services Cost Centers",1207209
120,"KAISER FOUNDATION HOSPITAL - HAYWARD","Management & Supervision",0
121,"KAISER FOUNDATION HOSPITAL - HAYWARD","Technician & Specialist",0
122,"KAISER FOUNDATION HOSPITAL - HAYWARD","Registered Nurse",1674237
123,"KAISER FOUNDATION HOSPITAL - HAYWARD","Licensed Vocational Nurse",33999
124,"KAISER FOUNDATION HOSPITAL - HAYWARD","Aides & Orderlies",150828
125,"KAISER FOUNDATION HOSPITAL - HAYWARD","Clerical & Other Administrative",0
126,"KAISER FOUNDATION HOSPITAL - HAYWARD","Environmental & Food Services",0
127,"KAISER FOUNDATION HOSPITAL - HAYWARD","Other",2809499
128,"KAISER FOUNDATION HOSPITAL - HAYWARD","Contracted Registry Nursing",6065
129,"KAISER FOUNDATION HOSPITAL - HAYWARD","Contracted Other",729
130,"KAISER FOUNDATION HOSPITAL - HAYWARD","Daily Cost Centers",1723678
131,"KAISER FOUNDATION HOSPITAL - HAYWARD","Ambulatory Cost Centers",155908
132,"KAISER FOUNDATION HOSPITAL - HAYWARD","Ancillary Cost Centers",653749
133,"KAISER FOUNDATION HOSPITAL - HAYWARD","Education Cost Centers",6157
134,"KAISER FOUNDATION HOSPITAL - HAYWARD","General Services Cost Centers",908161
135,"KAISER FOUNDATION HOSPITAL - HAYWARD","Fiscal Services Cost Centers",0
136,"KAISER FOUNDATION HOSPITAL - HAYWARD","Administrative Services Cost Centers",1203374
137,"KINDRED HOSPITAL - SAN FRANCISCO BAY AREA","Management & Supervision",37185
138,"KINDRED HOSPITAL - SAN FRANCISCO BAY AREA","Technician & Specialist",62790
139,"KINDRED HOSPITAL - SAN FRANCISCO BAY AREA","Registered Nurse",99805
140,"KINDRED HOSPITAL - SAN FRANCISCO BAY AREA","Licensed Vocational Nurse",32905
141,"KINDRED HOSPITAL - SAN FRANCISCO BAY AREA","Aides & Orderlies",43588
142,"KINDRED HOSPITAL - SAN FRANCISCO BAY AREA","Clerical & Other Administrative",85623
143,"KINDRED HOSPITAL - SAN FRANCISCO BAY AREA","Environmental & Food Services",38099
144,"KINDRED HOSPITAL - SAN FRANCISCO BAY AREA","Other",0
145,"KINDRED HOSPITAL - SAN FRANCISCO BAY AREA","Contracted Registry Nursing",755
146,"KINDRED HOSPITAL - SAN FRANCISCO BAY AREA","Contracted Other",0
147,"KINDRED HOSPITAL - SAN FRANCISCO BAY AREA","Daily Cost Centers",199812
148,"KINDRED HOSPITAL - SAN FRANCISCO BAY AREA","Ambulatory Cost Centers",0
149,"KINDRED HOSPITAL - SAN FRANCISCO BAY AREA","Ancillary Cost Centers",69664
150,"KINDRED HOSPITAL - SAN FRANCISCO BAY AREA","Education Cost Centers",0
151,"KINDRED HOSPITAL - SAN FRANCISCO BAY AREA","General Services Cost Centers",53193
152,"KINDRED HOSPITAL - SAN FRANCISCO BAY AREA","Fiscal Services Cost Centers",20383
153,"KINDRED HOSPITAL - SAN FRANCISCO BAY AREA","Administrative Services Cost Centers",57698
154,"ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE","Management & Supervision",221276
155,"ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE","Technician & Specialist",659469
156,"ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE","Registered Nurse",931276
157,"ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE","Licensed Vocational Nurse",26788
158,"ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE","Aides & Orderlies",230554
159,"ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE","Clerical & Other Administrative",702592
160,"ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE","Environmental & Food Services",385821
161,"ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE","Other",81624
162,"ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE","Contracted Registry Nursing",129075
163,"ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE","Contracted Other",93946
164,"ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE","Daily Cost Centers",1049595
165,"ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE","Ambulatory Cost Centers",250936
166,"ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE","Ancillary Cost Centers",782211
167,"ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE","Education Cost Centers",353193
168,"ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE","General Services Cost Centers",570964
169,"ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE","Fiscal Services Cost Centers",168209
170,"ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE","Administrative Services Cost Centers",250933
171,"ST. ROSE HOSPITAL","Management & Supervision",121499
172,"ST. ROSE HOSPITAL","Technician & Specialist",334406
173,"ST. ROSE HOSPITAL","Registered Nurse",507287
174,"ST. ROSE HOSPITAL","Licensed Vocational Nurse",26231
175,"ST. ROSE HOSPITAL","Aides & Orderlies",101311
176,"ST. ROSE HOSPITAL","Clerical & Other Administrative",256266
177,"ST. ROSE HOSPITAL","Environmental & Food Services",127511
178,"ST. ROSE HOSPITAL","Other",13037
179,"ST. ROSE HOSPITAL","Contracted Registry Nursing",23759
180,"ST. ROSE HOSPITAL","Contracted Other",10227
181,"ST. ROSE HOSPITAL","Daily Cost Centers",526924
182,"ST. ROSE HOSPITAL","Ambulatory Cost Centers",154925
183,"ST. ROSE HOSPITAL","Ancillary Cost Centers",370107
184,"ST. ROSE HOSPITAL","Education Cost Centers",0
185,"ST. ROSE HOSPITAL","General Services Cost Centers",238141
186,"ST. ROSE HOSPITAL","Fiscal Services Cost Centers",102572
187,"ST. ROSE HOSPITAL","Administrative Services Cost Centers",128865
188,"WASHINGTON HOSPITAL - FREMONT","Management & Supervision",201730
189,"WASHINGTON HOSPITAL - FREMONT","Technician & Specialist",628638
190,"WASHINGTON HOSPITAL - FREMONT","Registered Nurse",848188
191,"WASHINGTON HOSPITAL - FREMONT","Licensed Vocational Nurse",38210
192,"WASHINGTON HOSPITAL - FREMONT","Aides & Orderlies",99111
193,"WASHINGTON HOSPITAL - FREMONT","Clerical & Other Administrative",415892
194,"WASHINGTON HOSPITAL - FREMONT","Environmental & Food Services",239324
195,"WASHINGTON HOSPITAL - FREMONT","Other",54186
196,"WASHINGTON HOSPITAL - FREMONT","Contracted Registry Nursing",7860
197,"WASHINGTON HOSPITAL - FREMONT","Contracted Other",18141
198,"WASHINGTON HOSPITAL - FREMONT","Daily Cost Centers",848720
199,"WASHINGTON HOSPITAL - FREMONT","Ambulatory Cost Centers",111069
200,"WASHINGTON HOSPITAL - FREMONT","Ancillary Cost Centers",579371
201,"WASHINGTON HOSPITAL - FREMONT","Education Cost Centers",0
202,"WASHINGTON HOSPITAL - FREMONT","General Services Cost Centers",519922
203,"WASHINGTON HOSPITAL - FREMONT","Fiscal Services Cost Centers",184921
204,"WASHINGTON HOSPITAL - FREMONT","Administrative Services Cost Centers",307277
205,"MERRITT PERALTA INSTITUTE CHEMICAL DEPENDENCY RECOVERY HOSPITAL","Management & Supervision",5015
206,"MERRITT PERALTA INSTITUTE CHEMICAL DEPENDENCY RECOVERY HOSPITAL","Technician & Specialist",16272
207,"MERRITT PERALTA INSTITUTE CHEMICAL DEPENDENCY RECOVERY HOSPITAL","Registered Nurse",3544
208,"MERRITT PERALTA INSTITUTE CHEMICAL DEPENDENCY RECOVERY HOSPITAL","Licensed Vocational Nurse",2518
209,"MERRITT PERALTA INSTITUTE CHEMICAL DEPENDENCY RECOVERY HOSPITAL","Aides & Orderlies",4014
210,"MERRITT PERALTA INSTITUTE CHEMICAL DEPENDENCY RECOVERY HOSPITAL","Clerical & Other Administrative",5281
211,"MERRITT PERALTA INSTITUTE CHEMICAL DEPENDENCY RECOVERY HOSPITAL","Environmental & Food Services",0
212,"MERRITT PERALTA INSTITUTE CHEMICAL DEPENDENCY RECOVERY HOSPITAL","Other",0
213,"MERRITT PERALTA INSTITUTE CHEMICAL DEPENDENCY RECOVERY HOSPITAL","Contracted Registry Nursing",0
214,"MERRITT PERALTA INSTITUTE CHEMICAL DEPENDENCY RECOVERY HOSPITAL","Contracted Other",1164
215,"MERRITT PERALTA INSTITUTE CHEMICAL DEPENDENCY RECOVERY HOSPITAL","Daily Cost Centers",37808
216,"MERRITT PERALTA INSTITUTE CHEMICAL DEPENDENCY RECOVERY HOSPITAL","Ambulatory Cost Centers",0
217,"MERRITT PERALTA INSTITUTE CHEMICAL DEPENDENCY RECOVERY HOSPITAL","Ancillary Cost Centers",0
218,"MERRITT PERALTA INSTITUTE CHEMICAL DEPENDENCY RECOVERY HOSPITAL","Education Cost Centers",0
219,"MERRITT PERALTA INSTITUTE CHEMICAL DEPENDENCY RECOVERY HOSPITAL","General Services Cost Centers",0
220,"MERRITT PERALTA INSTITUTE CHEMICAL DEPENDENCY RECOVERY HOSPITAL","Fiscal Services Cost Centers",0
221,"MERRITT PERALTA INSTITUTE CHEMICAL DEPENDENCY RECOVERY HOSPITAL","Administrative Services Cost Centers",0
222,"FREMONT HOSPITAL","Management & Supervision",41779
223,"FREMONT HOSPITAL","Technician & Specialist",143247
224,"FREMONT HOSPITAL","Registered Nurse",56881
225,"FREMONT HOSPITAL","Licensed Vocational Nurse",8590
226,"FREMONT HOSPITAL","Aides & Orderlies",0
227,"FREMONT HOSPITAL","Clerical & Other Administrative",10076
228,"FREMONT HOSPITAL","Environmental & Food Services",15887
229,"FREMONT HOSPITAL","Other",62403
230,"FREMONT HOSPITAL","Contracted Registry Nursing",0
231,"FREMONT HOSPITAL","Contracted Other",11080
232,"FREMONT HOSPITAL","Daily Cost Centers",165352
233,"FREMONT HOSPITAL","Ambulatory Cost Centers",19420
234,"FREMONT HOSPITAL","Ancillary Cost Centers",0
235,"FREMONT HOSPITAL","Education Cost Centers",0
236,"FREMONT HOSPITAL","General Services Cost Centers",85694
237,"FREMONT HOSPITAL","Fiscal Services Cost Centers",35297
238,"FREMONT HOSPITAL","Administrative Services Cost Centers",44180
239,"VALLEYCARE MEDICAL CENTER","Management & Supervision",258731
240,"VALLEYCARE MEDICAL CENTER","Technician & Specialist",479022
241,"VALLEYCARE MEDICAL CENTER","Registered Nurse",448119
242,"VALLEYCARE MEDICAL CENTER","Licensed Vocational Nurse",17420
243,"VALLEYCARE MEDICAL CENTER","Aides & Orderlies",138917
244,"VALLEYCARE MEDICAL CENTER","Clerical & Other Administrative",413055
245,"VALLEYCARE MEDICAL CENTER","Environmental & Food Services",140373
246,"VALLEYCARE MEDICAL CENTER","Other",30072
247,"VALLEYCARE MEDICAL CENTER","Contracted Registry Nursing",61639
248,"VALLEYCARE MEDICAL CENTER","Contracted Other",3646
249,"VALLEYCARE MEDICAL CENTER","Daily Cost Centers",499959
250,"VALLEYCARE MEDICAL CENTER","Ambulatory Cost Centers",79813
251,"VALLEYCARE MEDICAL CENTER","Ancillary Cost Centers",754163
252,"VALLEYCARE MEDICAL CENTER","Education Cost Centers",2721
253,"VALLEYCARE MEDICAL CENTER","General Services Cost Centers",332472
254,"VALLEYCARE MEDICAL CENTER","Fiscal Services Cost Centers",167122
255,"VALLEYCARE MEDICAL CENTER","Administrative Services Cost Centers",154744
256,"TELECARE HERITAGE PSYCHIATRIC HEALTH FACILITY","Management & Supervision",9300
257,"TELECARE HERITAGE PSYCHIATRIC HEALTH FACILITY","Technician & Specialist",11252
258,"TELECARE HERITAGE PSYCHIATRIC HEALTH FACILITY","Registered Nurse",21000
259,"TELECARE HERITAGE PSYCHIATRIC HEALTH FACILITY","Licensed Vocational Nurse",6429
260,"TELECARE HERITAGE PSYCHIATRIC HEALTH FACILITY","Aides & Orderlies",20571
261,"TELECARE HERITAGE PSYCHIATRIC HEALTH FACILITY","Clerical & Other Administrative",10412
262,"TELECARE HERITAGE PSYCHIATRIC HEALTH FACILITY","Environmental & Food Services",9042
263,"TELECARE HERITAGE PSYCHIATRIC HEALTH FACILITY","Other",0
264,"TELECARE HERITAGE PSYCHIATRIC HEALTH FACILITY","Contracted Registry Nursing",0
265,"TELECARE HERITAGE PSYCHIATRIC HEALTH FACILITY","Contracted Other",569
266,"TELECARE HERITAGE PSYCHIATRIC HEALTH FACILITY","Daily Cost Centers",54535
267,"TELECARE HERITAGE PSYCHIATRIC HEALTH FACILITY","Ambulatory Cost Centers",0
268,"TELECARE HERITAGE PSYCHIATRIC HEALTH FACILITY","Ancillary Cost Centers",0
269,"TELECARE HERITAGE PSYCHIATRIC HEALTH FACILITY","Education Cost Centers",0
270,"TELECARE HERITAGE PSYCHIATRIC HEALTH FACILITY","General Services Cost Centers",19626
271,"TELECARE HERITAGE PSYCHIATRIC HEALTH FACILITY","Fiscal Services Cost Centers",4502
272,"TELECARE HERITAGE PSYCHIATRIC HEALTH FACILITY","Administrative Services Cost Centers",9912
273,"TELECARE WILLOW ROCK CENTER","Management & Supervision",8552
274,"TELECARE WILLOW ROCK CENTER","Technician & Specialist",10970
275,"TELECARE WILLOW ROCK CENTER","Registered Nurse",10238
276,"TELECARE WILLOW ROCK CENTER","Licensed Vocational Nurse",6391
277,"TELECARE WILLOW ROCK CENTER","Aides & Orderlies",24255
278,"TELECARE WILLOW ROCK CENTER","Clerical & Other Administrative",5441
279,"TELECARE WILLOW ROCK CENTER","Environmental & Food Services",0
280,"TELECARE WILLOW ROCK CENTER","Other",0
281,"TELECARE WILLOW ROCK CENTER","Contracted Registry Nursing",0
282,"TELECARE WILLOW ROCK CENTER","Contracted Other",3778
283,"TELECARE WILLOW ROCK CENTER","Daily Cost Centers",53320
284,"TELECARE WILLOW ROCK CENTER","Ambulatory Cost Centers",0
285,"TELECARE WILLOW ROCK CENTER","Ancillary Cost Centers",0
286,"TELECARE WILLOW ROCK CENTER","Education Cost Centers",0
287,"TELECARE WILLOW ROCK CENTER","General Services Cost Centers",6048
288,"TELECARE WILLOW ROCK CENTER","Fiscal Services Cost Centers",2024
289,"TELECARE WILLOW ROCK CENTER","Administrative Services Cost Centers",8233
290,"KAISER FOUNDATION NORTHERN REGION","Management & Supervision",0
291,"KAISER FOUNDATION NORTHERN REGION","Technician & Specialist",0
292,"KAISER FOUNDATION NORTHERN REGION","Registered Nurse",0
293,"KAISER FOUNDATION NORTHERN REGION","Licensed Vocational Nurse",0
294,"KAISER FOUNDATION NORTHERN REGION","Aides & Orderlies",0
295,"KAISER FOUNDATION NORTHERN REGION","Clerical & Other Administrative",0
296,"KAISER FOUNDATION NORTHERN REGION","Environmental & Food Services",0
297,"KAISER FOUNDATION NORTHERN REGION","Other",0
298,"KAISER FOUNDATION NORTHERN REGION","Contracted Registry Nursing",0
299,"KAISER FOUNDATION NORTHERN REGION","Contracted Other",0
300,"KAISER FOUNDATION NORTHERN REGION","Daily Cost Centers",0
301,"KAISER FOUNDATION NORTHERN REGION","Ambulatory Cost Centers",0
302,"KAISER FOUNDATION NORTHERN REGION","Ancillary Cost Centers",0
303,"KAISER FOUNDATION NORTHERN REGION","Education Cost Centers",0
304,"KAISER FOUNDATION NORTHERN REGION","General Services Cost Centers",0
305,"KAISER FOUNDATION NORTHERN REGION","Fiscal Services Cost Centers",0
306,"KAISER FOUNDATION NORTHERN REGION","Administrative Services Cost Centers",0
307,"SUTTER AMADOR HOSPITAL","Management & Supervision",74788
308,"SUTTER AMADOR HOSPITAL","Technician & Specialist",125443
309,"SUTTER AMADOR HOSPITAL","Registered Nurse",143143
310,"SUTTER AMADOR HOSPITAL","Licensed Vocational Nurse",8823
311,"SUTTER AMADOR HOSPITAL","Aides & Orderlies",44011
312,"SUTTER AMADOR HOSPITAL","Clerical & Other Administrative",120733
313,"SUTTER AMADOR HOSPITAL","Environmental & Food Services",70747
314,"SUTTER AMADOR HOSPITAL","Other",56926
315,"SUTTER AMADOR HOSPITAL","Contracted Registry Nursing",5938
316,"SUTTER AMADOR HOSPITAL","Contracted Other",12337
317,"SUTTER AMADOR HOSPITAL","Daily Cost Centers",129426
318,"SUTTER AMADOR HOSPITAL","Ambulatory Cost Centers",113919
319,"SUTTER AMADOR HOSPITAL","Ancillary Cost Centers",213140
320,"SUTTER AMADOR HOSPITAL","Education Cost Centers",0
321,"SUTTER AMADOR HOSPITAL","General Services Cost Centers",118710
322,"SUTTER AMADOR HOSPITAL","Fiscal Services Cost Centers",38693
323,"SUTTER AMADOR HOSPITAL","Administrative Services Cost Centers",49001
324,"BIGGS-GRIDLEY MEMORIAL HOSPITAL","Management & Supervision",34610
325,"BIGGS-GRIDLEY MEMORIAL HOSPITAL","Technician & Specialist",43639
326,"BIGGS-GRIDLEY MEMORIAL HOSPITAL","Registered Nurse",40941
327,"BIGGS-GRIDLEY MEMORIAL HOSPITAL","Licensed Vocational Nurse",44644
328,"BIGGS-GRIDLEY MEMORIAL HOSPITAL","Aides & Orderlies",49595
329,"BIGGS-GRIDLEY MEMORIAL HOSPITAL","Clerical & Other Administrative",96072
330,"BIGGS-GRIDLEY MEMORIAL HOSPITAL","Environmental & Food Services",13691
331,"BIGGS-GRIDLEY MEMORIAL HOSPITAL","Other",18485
332,"BIGGS-GRIDLEY MEMORIAL HOSPITAL","Contracted Registry Nursing",901
333,"BIGGS-GRIDLEY MEMORIAL HOSPITAL","Contracted Other",0
