"id","facility_name","county_name","productive_hours","productive_hours_per_adjusted_patient_day"
114,"KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS","Alameda",167205,1.93
115,"KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS","Alameda",928902,10.7
116,"KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS","Alameda",193513,2.23
117,"KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS","Alameda",1623168,18.69
118,"KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS","Alameda",0,0.0
119,"KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS","Alameda",1207209,13.9
120,"KAISER FOUNDATION HOSPITAL - HAYWARD","Alameda",0,0.0
121,"KAISER FOUNDATION HOSPITAL - HAYWARD","Alameda",0,0.0
122,"KAISER FOUNDATION HOSPITAL - HAYWARD","Alameda",1674237,26.39
123,"KAISER FOUNDATION HOSPITAL - HAYWARD","Alameda",33999,0.54
124,"KAISER FOUNDATION HOSPITAL - HAYWARD","Alameda",150828,2.38
125,"KAISER FOUNDATION HOSPITAL - HAYWARD","Alameda",0,0.0
126,"KAISER FOUNDATION HOSPITAL - HAYWARD","Alameda",0,0.0
127,"KAISER FOUNDATION HOSPITAL - HAYWARD","Alameda",2809499,44.29
128,"KAISER FOUNDATION HOSPITAL - HAYWARD","Alameda",6065,0.1
129,"KAISER FOUNDATION HOSPITAL - HAYWARD","Alameda",729,0.01
130,"KAISER FOUNDATION HOSPITAL - HAYWARD","Alameda",1723678,27.17
131,"KAISER FOUNDATION HOSPITAL - HAYWARD","Alameda",155908,2.46
132,"KAISER FOUNDATION HOSPITAL - HAYWARD","Alameda",653749,10.31
133,"KAISER FOUNDATION HOSPITAL - HAYWARD","Alameda",6157,0.1
134,"KAISER FOUNDATION HOSPITAL - HAYWARD","Alameda",908161,14.32
135,"KAISER FOUNDATION HOSPITAL - HAYWARD","Alameda",0,0.0
136,"KAISER FOUNDATION HOSPITAL - HAYWARD","Alameda",1203374,18.97
137,"KINDRED HOSPITAL - SAN FRANCISCO BAY AREA","Alameda",37185,1.9
138,"KINDRED HOSPITAL - SAN FRANCISCO BAY AREA","Alameda",62790,3.2
139,"KINDRED HOSPITAL - SAN FRANCISCO BAY AREA","Alameda",99805,5.09
140,"KINDRED HOSPITAL - SAN FRANCISCO BAY AREA","Alameda",32905,1.68
141,"KINDRED HOSPITAL - SAN FRANCISCO BAY AREA","Alameda",43588,2.22
142,"KINDRED HOSPITAL - SAN FRANCISCO BAY AREA","Alameda",85623,4.37
143,"KINDRED HOSPITAL - SAN FRANCISCO BAY AREA","Alameda",38099,1.94
144,"KINDRED HOSPITAL - SAN FRANCISCO BAY AREA","Alameda",0,0.0
145,"KINDRED HOSPITAL - SAN FRANCISCO BAY AREA","Alameda",755,0.04
146,"KINDRED HOSPITAL - SAN FRANCISCO BAY AREA","Alameda",0,0.0
147,"KINDRED HOSPITAL - SAN FRANCISCO BAY AREA","Alameda",199812,10.19
148,"KINDRED HOSPITAL - SAN FRANCISCO BAY AREA","Alameda",0,0.0
149,"KINDRED HOSPITAL - SAN FRANCISCO BAY AREA","Alameda",69664,3.55
150,"KINDRED HOSPITAL - SAN FRANCISCO BAY AREA","Alameda",0,0.0
151,"KINDRED HOSPITAL - SAN FRANCISCO BAY AREA","Alameda",53193,2.71
152,"KINDRED HOSPITAL - SAN FRANCISCO BAY AREA","Alameda",20383,1.04
153,"KINDRED HOSPITAL - SAN FRANCISCO BAY AREA","Alameda",57698,2.94
154,"ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE","Alameda",221276,2.08
155,"ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE","Alameda",659469,6.19
156,"ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE","Alameda",931276,8.75
157,"ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE","Alameda",26788,0.25
158,"ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE","Alameda",230554,2.17
159,"ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE","Alameda",702592,6.6
160,"ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE","Alameda",385821,3.62
161,"ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE","Alameda",81624,0.77
162,"ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE","Alameda",129075,1.21
163,"ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE","Alameda",93946,0.88
164,"ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE","Alameda",1049595,9.86
165,"ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE","Alameda",250936,2.36
166,"ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE","Alameda",782211,7.35
167,"ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE","Alameda",353193,3.32
168,"ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE","Alameda",570964,5.36
169,"ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE","Alameda",168209,1.58
170,"ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE","Alameda",250933,2.36
171,"ST. ROSE HOSPITAL","Alameda",121499,2.33
172,"ST. ROSE HOSPITAL","Alameda",334406,6.41
173,"ST. ROSE HOSPITAL","Alameda",507287,9.72
174,"ST. ROSE HOSPITAL","Alameda",26231,0.5
175,"ST. ROSE HOSPITAL","Alameda",101311,1.94
176,"ST. ROSE HOSPITAL","Alameda",256266,4.91
177,"ST. ROSE HOSPITAL","Alameda",127511,2.44
178,"ST. ROSE HOSPITAL","Alameda",13037,0.25
179,"ST. ROSE HOSPITAL","Alameda",23759,0.46
180,"ST. ROSE HOSPITAL","Alameda",10227,0.2
181,"ST. ROSE HOSPITAL","Alameda",526924,10.1
182,"ST. ROSE HOSPITAL","Alameda",154925,2.97
183,"ST. ROSE HOSPITAL","Alameda",370107,7.09
184,"ST. ROSE HOSPITAL","Alameda",0,0.0
185,"ST. ROSE HOSPITAL","Alameda",238141,4.56
186,"ST. ROSE HOSPITAL","Alameda",102572,1.97
187,"ST. ROSE HOSPITAL","Alameda",128865,2.47
188,"WASHINGTON HOSPITAL - FREMONT","Alameda",201730,2.61
189,"WASHINGTON HOSPITAL - FREMONT","Alameda",628638,8.13
190,"WASHINGTON HOSPITAL - FREMONT","Alameda",848188,10.97
191,"WASHINGTON HOSPITAL - FREMONT","Alameda",38210,0.49
192,"WASHINGTON HOSPITAL - FREMONT","Alameda",99111,1.28
193,"WASHINGTON HOSPITAL - FREMONT","Alameda",415892,5.38
194,"WASHINGTON HOSPITAL - FREMONT","Alameda",239324,3.1
195,"WASHINGTON HOSPITAL - FREMONT","Alameda",54186,0.7
196,"WASHINGTON HOSPITAL - FREMONT","Alameda",7860,0.1
197,"WASHINGTON HOSPITAL - FREMONT","Alameda",18141,0.23
198,"WASHINGTON HOSPITAL - FREMONT","Alameda",848720,10.98
199,"WASHINGTON HOSPITAL - FREMONT","Alameda",111069,1.44
200,"WASHINGTON HOSPITAL - FREMONT","Alameda",579371,7.5
201,"WASHINGTON HOSPITAL - FREMONT","Alameda",0,0.0
202,"WASHINGTON HOSPITAL - FREMONT","Alameda",519922,6.73
203,"WASHINGTON HOSPITAL - FREMONT","Alameda",184921,2.39
204,"WASHINGTON HOSPITAL - FREMONT","Alameda",307277,3.98
205,"MERRITT PERALTA INSTITUTE CHEMICAL DEPENDENCY RECOVERY HOSPITAL","Alameda",5015,0.7
206,"MERRITT PERALTA INSTITUTE CHEMICAL DEPENDENCY RECOVERY HOSPITAL","Alameda",16272,2.27
207,"MERRITT PERALTA INSTITUTE CHEMICAL DEPENDENCY RECOVERY HOSPITAL","Alameda",3544,0.5
208,"MERRITT PERALTA INSTITUTE CHEMICAL DEPENDENCY RECOVERY HOSPITAL","Alameda",2518,0.35
209,"MERRITT PERALTA INSTITUTE CHEMICAL DEPENDENCY RECOVERY HOSPITAL","Alameda",4014,0.56
210,"MERRITT PERALTA INSTITUTE CHEMICAL DEPENDENCY RECOVERY HOSPITAL","Alameda",5281,0.74
211,"MERRITT PERALTA INSTITUTE CHEMICAL DEPENDENCY RECOVERY HOSPITAL","Alameda",0,0.0
212,"MERRITT PERALTA INSTITUTE CHEMICAL DEPENDENCY RECOVERY HOSPITAL","Alameda",0,0.0
213,"MERRITT PERALTA INSTITUTE CHEMICAL DEPENDENCY RECOVERY HOSPITAL","Alameda",0,0.0
214,"MERRITT PERALTA INSTITUTE CHEMICAL DEPENDENCY RECOVERY HOSPITAL","Alameda",1164,0.16
215,"MERRITT PERALTA INSTITUTE CHEMICAL DEPENDENCY RECOVERY HOSPITAL","Alameda",37808,5.29
216,"MERRITT PERALTA INSTITUTE CHEMICAL DEPENDENCY RECOVERY HOSPITAL","Alameda",0,0.0
217,"MERRITT PERALTA INSTITUTE CHEMICAL DEPENDENCY RECOVERY HOSPITAL","Alameda",0,0.0
218,"MERRITT PERALTA INSTITUTE CHEMICAL DEPENDENCY RECOVERY HOSPITAL","Alameda",0,0.0
219,"MERRITT PERALTA INSTITUTE CHEMICAL DEPENDENCY RECOVERY HOSPITAL","Alameda",0,0.0
220,"MERRITT PERALTA INSTITUTE CHEMICAL DEPENDENCY RECOVERY HOSPITAL","Alameda",0,0.0
221,"MERRITT PERALTA INSTITUTE CHEMICAL DEPENDENCY RECOVERY HOSPITAL","Alameda",0,0.0
222,"FREMONT HOSPITAL","Alameda",41779,1.34
223,"FREMONT HOSPITAL","Alameda",143247,4.6
224,"FREMONT HOSPITAL","Alameda",56881,1.83
225,"FREMONT HOSPITAL","Alameda",8590,0.28
226,"FREMONT HOSPITAL","Alameda",0,0.0
227,"FREMONT HOSPITAL","Alameda",10076,0.32
228,"FREMONT HOSPITAL","Alameda",15887,0.51
229,"FREMONT HOSPITAL","Alameda",62403,2.0
230,"FREMONT HOSPITAL","Alameda",0,0.0
231,"FREMONT HOSPITAL","Alameda",11080,0.36
232,"FREMONT HOSPITAL","Alameda",165352,5.31
233,"FREMONT HOSPITAL","Alameda",19420,0.62
234,"FREMONT HOSPITAL","Alameda",0,0.0
235,"FREMONT HOSPITAL","Alameda",0,0.0
236,"FREMONT HOSPITAL","Alameda",85694,2.75
237,"FREMONT HOSPITAL","Alameda",35297,1.13
238,"FREMONT HOSPITAL","Alameda",44180,1.42
239,"VALLEYCARE MEDICAL CENTER","Alameda",258731,3.85
240,"VALLEYCARE MEDICAL CENTER","Alameda",479022,7.13
241,"VALLEYCARE MEDICAL CENTER","Alameda",448119,6.67
242,"VALLEYCARE MEDICAL CENTER","Alameda",17420,0.26
243,"VALLEYCARE MEDICAL CENTER","Alameda",138917,2.07
244,"VALLEYCARE MEDICAL CENTER","Alameda",413055,6.15
245,"VALLEYCARE MEDICAL CENTER","Alameda",140373,2.09
246,"VALLEYCARE MEDICAL CENTER","Alameda",30072,0.45
247,"VALLEYCARE MEDICAL CENTER","Alameda",61639,0.92
248,"VALLEYCARE MEDICAL CENTER","Alameda",3646,0.05
249,"VALLEYCARE MEDICAL CENTER","Alameda",499959,7.44
250,"VALLEYCARE MEDICAL CENTER","Alameda",79813,1.19
251,"VALLEYCARE MEDICAL CENTER","Alameda",754163,11.22
252,"VALLEYCARE MEDICAL CENTER","Alameda",2721,0.04
253,"VALLEYCARE MEDICAL CENTER","Alameda",332472,4.95
254,"VALLEYCARE MEDICAL CENTER","Alameda",167122,2.49
255,"VALLEYCARE MEDICAL CENTER","Alameda",154744,2.3
256,"TELECARE HERITAGE PSYCHIATRIC HEALTH FACILITY","Alameda",9300,1.36
257,"TELECARE HERITAGE PSYCHIATRIC HEALTH FACILITY","Alameda",11252,1.65
258,"TELECARE HERITAGE PSYCHIATRIC HEALTH FACILITY","Alameda",21000,3.07
259,"TELECARE HERITAGE PSYCHIATRIC HEALTH FACILITY","Alameda",6429,0.94
260,"TELECARE HERITAGE PSYCHIATRIC HEALTH FACILITY","Alameda",20571,3.01
261,"TELECARE HERITAGE PSYCHIATRIC HEALTH FACILITY","Alameda",10412,1.52
262,"TELECARE HERITAGE PSYCHIATRIC HEALTH FACILITY","Alameda",9042,1.32
263,"TELECARE HERITAGE PSYCHIATRIC HEALTH FACILITY","Alameda",0,0.0
264,"TELECARE HERITAGE PSYCHIATRIC HEALTH FACILITY","Alameda",0,0.0
265,"TELECARE HERITAGE PSYCHIATRIC HEALTH FACILITY","Alameda",569,0.08
266,"TELECARE HERITAGE PSYCHIATRIC HEALTH FACILITY","Alameda",54535,7.98
267,"TELECARE HERITAGE PSYCHIATRIC HEALTH FACILITY","Alameda",0,0.0
268,"TELECARE HERITAGE PSYCHIATRIC HEALTH FACILITY","Alameda",0,0.0
269,"TELECARE HERITAGE PSYCHIATRIC HEALTH FACILITY","Alameda",0,0.0
270,"TELECARE HERITAGE PSYCHIATRIC HEALTH FACILITY","Alameda",19626,2.87
271,"TELECARE HERITAGE PSYCHIATRIC HEALTH FACILITY","Alameda",4502,0.66
272,"TELECARE HERITAGE PSYCHIATRIC HEALTH FACILITY","Alameda",9912,1.45
273,"TELECARE WILLOW ROCK CENTER","Alameda",8552,2.58
274,"TELECARE WILLOW ROCK CENTER","Alameda",10970,3.31
275,"TELECARE WILLOW ROCK CENTER","Alameda",10238,3.09
276,"TELECARE WILLOW ROCK CENTER","Alameda",6391,1.93
277,"TELECARE WILLOW ROCK CENTER","Alameda",24255,7.31
278,"TELECARE WILLOW ROCK CENTER","Alameda",5441,1.64
279,"TELECARE WILLOW ROCK CENTER","Alameda",0,0.0
280,"TELECARE WILLOW ROCK CENTER","Alameda",0,0.0
281,"TELECARE WILLOW ROCK CENTER","Alameda",0,0.0
282,"TELECARE WILLOW ROCK CENTER","Alameda",3778,1.14
283,"TELECARE WILLOW ROCK CENTER","Alameda",53320,16.07
284,"TELECARE WILLOW ROCK CENTER","Alameda",0,0.0
285,"TELECARE WILLOW ROCK CENTER","Alameda",0,0.0
286,"TELECARE WILLOW ROCK CENTER","Alameda",0,0.0
287,"TELECARE WILLOW ROCK CENTER","Alameda",6048,1.82
288,"TELECARE WILLOW ROCK CENTER","Alameda",2024,0.61
289,"TELECARE WILLOW ROCK CENTER","Alameda",8233,2.48
290,"KAISER FOUNDATION NORTHERN REGION","Alameda",0,0.0
291,"KAISER FOUNDATION NORTHERN REGION","Alameda",0,0.0
292,"KAISER FOUNDATION NORTHERN REGION","Alameda",0,0.0
293,"KAISER FOUNDATION NORTHERN REGION","Alameda",0,0.0
294,"KAISER FOUNDATION NORTHERN REGION","Alameda",0,0.0
295,"KAISER FOUNDATION NORTHERN REGION","Alameda",0,0.0
296,"KAISER FOUNDATION NORTHERN REGION","Alameda",0,0.0
297,"KAISER FOUNDATION NORTHERN REGION","Alameda",0,0.0
298,"KAISER FOUNDATION NORTHERN REGION","Alameda",0,0.0
299,"KAISER FOUNDATION NORTHERN REGION","Alameda",0,0.0
300,"KAISER FOUNDATION NORTHERN REGION","Alameda",0,0.0
301,"KAISER FOUNDATION NORTHERN REGION","Alameda",0,0.0
302,"KAISER FOUNDATION NORTHERN REGION","Alameda",0,0.0
303,"KAISER FOUNDATION NORTHERN REGION","Alameda",0,0.0
304,"KAISER FOUNDATION NORTHERN REGION","Alameda",0,0.0
305,"KAISER FOUNDATION NORTHERN REGION","Alameda",0,0.0
306,"KAISER FOUNDATION NORTHERN REGION","Alameda",0,0.0
307,"SUTTER AMADOR HOSPITAL","Amador",74788,4.48
308,"SUTTER AMADOR HOSPITAL","Amador",125443,7.52
309,"SUTTER AMADOR HOSPITAL","Amador",143143,8.58
310,"SUTTER AMADOR HOSPITAL","Amador",8823,0.53
311,"SUTTER AMADOR HOSPITAL","Amador",44011,2.64
312,"SUTTER AMADOR HOSPITAL","Amador",120733,7.23
313,"SUTTER AMADOR HOSPITAL","Amador",70747,4.24
314,"SUTTER AMADOR HOSPITAL","Amador",56926,3.41
315,"SUTTER AMADOR HOSPITAL","Amador",5938,0.36
316,"SUTTER AMADOR HOSPITAL","Amador",12337,0.74
317,"SUTTER AMADOR HOSPITAL","Amador",129426,7.75
318,"SUTTER AMADOR HOSPITAL","Amador",113919,6.83
319,"SUTTER AMADOR HOSPITAL","Amador",213140,12.77
320,"SUTTER AMADOR HOSPITAL","Amador",0,0.0
321,"SUTTER AMADOR HOSPITAL","Amador",118710,7.11
322,"SUTTER AMADOR HOSPITAL","Amador",38693,2.32
323,"SUTTER AMADOR HOSPITAL","Amador",49001,2.94
324,"BIGGS-GRIDLEY MEMORIAL HOSPITAL","Butte",34610,1.73
325,"BIGGS-GRIDLEY MEMORIAL HOSPITAL","Butte",43639,2.18
326,"BIGGS-GRIDLEY MEMORIAL HOSPITAL","Butte",40941,2.05
327,"BIGGS-GRIDLEY MEMORIAL HOSPITAL","Butte",44644,2.23
328,"BIGGS-GRIDLEY MEMORIAL HOSPITAL","Butte",49595,2.48
329,"BIGGS-GRIDLEY MEMORIAL HOSPITAL","Butte",96072,4.8
330,"BIGGS-GRIDLEY MEMORIAL HOSPITAL","Butte",13691,0.68
331,"BIGGS-GRIDLEY MEMORIAL HOSPITAL","Butte",18485,0.92
332,"BIGGS-GRIDLEY MEMORIAL HOSPITAL","Butte",901,0.05
333,"BIGGS-GRIDLEY MEMORIAL HOSPITAL","Butte",0,0.0
334,"BIGGS-GRIDLEY MEMORIAL HOSPITAL","Butte",114691,5.73
335,"BIGGS-GRIDLEY MEMORIAL HOSPITAL","Butte",33213,1.66
336,"BIGGS-GRIDLEY MEMORIAL HOSPITAL","Butte",67281,3.36
337,"BIGGS-GRIDLEY MEMORIAL HOSPITAL","Butte",0,0.0
338,"BIGGS-GRIDLEY MEMORIAL HOSPITAL","Butte",54982,2.75
339,"BIGGS-GRIDLEY MEMORIAL HOSPITAL","Butte",42623,2.13
340,"BIGGS-GRIDLEY MEMORIAL HOSPITAL","Butte",29788,1.49
341,"FEATHER RIVER HOSPITAL","Butte",84196,2.02
342,"FEATHER RIVER HOSPITAL","Butte",380348,9.11
343,"FEATHER RIVER HOSPITAL","Butte",327643,7.85
